                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                  1.465,                 2.1798,                0.78104,                0.97904,                0.77582,                0.70906,                 0.7061,                0.41669,                0.70188,                0.62173,                0.63981,                0.26681,                 1.4401,                 2.2415,                0.78494,                0.96208,               0.007723,               0.007723,               0.007723
                     26,                 1.4572,                 2.1384,                0.78183,                0.98702,                0.77272,                0.71506,                0.69918,                 0.4147,                0.71013,                 0.6371,                0.65301,                0.27076,                 1.4325,                 2.2307,                0.77535,                0.95773,               0.007624,               0.007624,               0.007624
                     27,                 1.4406,                  2.111,                0.77058,                0.97626,                  0.762,                0.71796,                0.69568,                0.40789,                0.71117,                0.63829,                 0.6497,                0.27483,                 1.4356,                 2.2457,                0.76936,                0.96171,               0.007525,               0.007525,               0.007525
                     28,                 1.4342,                 2.1337,                0.76238,                0.98296,                0.76718,                0.71617,                0.69818,                0.41572,                0.71608,                  0.658,                0.66843,                0.28914,                 1.4286,                 2.2458,                0.77508,                0.95388,               0.007426,               0.007426,               0.007426
                     29,                 1.4189,                 2.1192,                0.74882,                0.97103,                0.77169,                 0.7163,                0.70347,                0.41794,                 0.7134,                0.64496,                0.66264,                0.27965,                 1.4345,                 2.2493,                0.77216,                0.95981,               0.007327,               0.007327,               0.007327
                     30,                 1.4296,                 2.1211,                 0.7657,                0.97157,                0.76365,                0.72086,                0.69981,                0.41771,                0.69818,                0.65906,                0.65437,                0.27771,                 1.4094,                 2.2689,                0.76793,                 0.9507,               0.007228,               0.007228,               0.007228
                     31,                 1.4142,                 2.1058,                0.75876,                0.97088,                0.76216,                0.71713,                 0.7049,                0.41624,                0.71732,                0.63625,                0.65288,                0.28095,                 1.4323,                 2.2397,                0.77441,                0.95361,               0.007129,               0.007129,               0.007129
                     32,                 1.4343,                 2.1419,                0.76318,                0.98006,                 0.7533,                0.71879,                0.69598,                0.41568,                0.70651,                0.64994,                0.65394,                0.27746,                 1.4213,                 2.2351,                0.76574,                0.95551,                0.00703,                0.00703,                0.00703
                     33,                 1.4332,                 2.1223,                0.75644,                0.97171,                0.76541,                0.71451,                0.69992,                0.41984,                0.72898,                 0.6292,                0.65214,                0.27978,                 1.4079,                 2.2072,                0.76288,                0.95024,               0.006931,               0.006931,               0.006931
                     34,                 1.4184,                 2.1211,                0.75342,                 0.9722,                0.77253,                0.70427,                0.70217,                0.42392,                0.71469,                0.64208,                0.65914,                0.27987,                 1.4017,                  2.196,                 0.7511,                0.95178,               0.006832,               0.006832,               0.006832
                     35,                 1.3986,                 2.0878,                0.74587,                0.96604,                0.77069,                0.71672,                0.70917,                0.42311,                0.73078,                0.64206,                0.66888,                0.28437,                 1.4133,                 2.2207,                0.75223,                0.95043,               0.006733,               0.006733,               0.006733
                     36,                 1.4202,                 2.1002,                0.75885,                0.97341,                0.76901,                0.70966,                0.70741,                0.42547,                 0.7116,                0.64828,                0.66201,                0.28501,                 1.3935,                 2.1701,                0.74751,                0.94868,               0.006634,               0.006634,               0.006634
                     37,                 1.4076,                 2.0928,                0.74866,                0.96999,                0.76697,                 0.7153,                0.70967,                0.42928,                0.70804,                0.64828,                0.66242,                0.28663,                 1.3934,                  2.182,                0.74123,                0.94493,               0.006535,               0.006535,               0.006535
                     38,                 1.3878,                 2.0678,                0.73936,                0.96762,                 0.7703,                0.71257,                0.70455,                0.42387,                0.72409,                0.64911,                0.66261,                0.28654,                 1.4005,                 2.1951,                0.74809,                0.94925,               0.006436,               0.006436,               0.006436
