                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5558,                  2.742,                 1.1477,                 1.1399,                0.68351,                0.45783,                0.48196,                0.25281,                0.55493,                0.40167,                 0.4066,                0.18271,                 1.9011,                 3.5122,                 1.3476,                 1.1241,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.5944,                 2.8132,                  1.137,                 1.1588,                0.70904,                0.46359,                0.49459,                0.24527,                0.57862,                0.38482,                 0.3893,                0.16356,                 1.9122,                 3.4231,                 1.3518,                 1.1457,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.5556,                 2.7334,                 1.1311,                 1.1519,                0.72942,                0.45888,                0.49244,                0.25161,                0.64364,                0.37926,                0.41001,                0.17312,                 1.8831,                 3.4887,                 1.3141,                  1.128,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.5285,                 2.7172,                 1.1058,                 1.1269,                0.73037,                0.44129,                0.48396,                0.26113,                0.62258,                0.39058,                0.42169,                0.18973,                 1.8525,                 3.3895,                 1.3291,                 1.1243,               0.001505,               0.001505,               0.001505
                     28,                 1.5204,                 2.6574,                 1.0979,                 1.1465,                 0.7108,                0.46735,                0.49322,                0.24569,                0.56117,                0.37559,                0.38003,                0.16182,                  1.903,                 3.4968,                 1.3369,                 1.1124,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.5085,                 2.6884,                 1.0764,                 1.1381,                 0.7287,                0.46621,                 0.4923,                0.25153,                0.56645,                0.39286,                0.39672,                0.17206,                  1.894,                 3.4224,                  1.337,                 1.1309,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.4987,                 2.6084,                 1.0512,                 1.1173,                  0.683,                 0.4615,                0.48316,                 0.2428,                0.54214,                0.39235,                0.38961,                 0.1687,                 1.9297,                 3.6238,                 1.4245,                 1.1264,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.5096,                 2.6569,                 1.0564,                  1.127,                0.72767,                0.47031,                0.49531,                0.25167,                0.61101,                0.37926,                0.39064,                 0.1667,                 1.8612,                 3.5042,                 1.3663,                 1.1211,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.5139,                 2.7127,                 1.0812,                 1.1247,                0.73346,                0.46412,                0.50278,                0.25696,                0.62893,                0.38533,                0.41274,                0.17913,                 1.8669,                 3.4217,                 1.2716,                 1.1183,               0.001406,               0.001406,               0.001406
                     33,                 1.4957,                 2.6525,                 1.0532,                 1.1229,                 0.7238,                0.46988,                 0.4965,                0.25195,                0.56968,                0.36983,                0.37801,                0.16867,                 1.8921,                 3.5455,                 1.3034,                 1.1172,              0.0013862,              0.0013862,              0.0013862
                     34,                  1.505,                 2.6639,                 1.0527,                 1.1159,                0.73316,                0.47928,                0.51097,                0.26973,                0.58507,                0.39707,                0.40943,                0.18064,                 1.8617,                 3.4877,                 1.2801,                 1.1178,              0.0013664,              0.0013664,              0.0013664
